a,b,n_full,n_margin,effect_full,effect_margin,delta,abs_delta,sign_flip
01-ai__Yi-34B,01-ai__Yi-6B,1319,659,0.379833206974981,0.5204855842185129,0.14065237724353186,0.14065237724353186,False
01-ai__Yi-34B,HuggingFaceH4__zephyr-7b-beta,1319,659,0.2357846853677028,0.3125948406676783,0.07681015529997548,0.07681015529997548,False
01-ai__Yi-34B,Qwen__Qwen1.5-14B-Chat,1319,659,0.2001516300227445,0.283763277693475,0.08361164767073048,0.08361164767073048,False
01-ai__Yi-34B,Qwen__Qwen1.5-72B-Chat,1319,659,0.3025018953752843,0.4400606980273141,0.1375588026520298,0.1375588026520298,False
01-ai__Yi-34B,Qwen__Qwen1.5-7B-Chat,1319,659,0.37452615617892343,0.49013657056145676,0.11561041438253333,0.11561041438253333,False
01-ai__Yi-34B,deepseek-ai__deepseek-llm-67b-base,1319,659,-0.060652009097801364,-0.11684370257966616,-0.05619169348186479,0.05619169348186479,False
01-ai__Yi-34B,google__gemma-2b,1319,659,0.3373768006065201,0.46889226100151743,0.13151546039499734,0.13151546039499734,False
01-ai__Yi-34B,google__gemma-7b,1319,659,-0.02122820318423048,-0.06069802731411229,-0.039469824129881814,0.039469824129881814,False
01-ai__Yi-34B,meta-llama__Llama-2-13b-chat-hf,1319,659,0.35405610310841545,0.5022761760242792,0.14822007291586375,0.14822007291586375,False
01-ai__Yi-34B,meta-llama__Llama-2-13b-hf,1319,659,0.27824109173616374,0.36722306525037934,0.0889819735142156,0.0889819735142156,False
01-ai__Yi-34B,meta-llama__Llama-2-70b-chat-hf,1319,659,0.2395754359363154,0.3277693474962064,0.08819391155989101,0.08819391155989101,False
01-ai__Yi-34B,meta-llama__Llama-2-70b-hf,1319,659,-0.03411675511751327,-0.0637329286798179,-0.029616173562304636,0.029616173562304636,False
01-ai__Yi-34B,meta-llama__Llama-2-7b-chat-hf,1319,659,0.43290371493555724,0.6009104704097117,0.16800675547415445,0.16800675547415445,False
01-ai__Yi-34B,meta-llama__Llama-2-7b-hf,1319,659,0.3616376042456406,0.5128983308042488,0.15126072655860823,0.15126072655860823,False
01-ai__Yi-34B,meta-llama__Meta-Llama-3-70B,1319,659,-0.2623199393479909,-0.26100151745068284,0.0013184218973080752,0.0013184218973080752,False
01-ai__Yi-34B,meta-llama__Meta-Llama-3-70B-Instruct,1319,659,-0.3479909021986353,-0.283763277693475,0.06422762450516034,0.06422762450516034,False
01-ai__Yi-34B,meta-llama__Meta-Llama-3-8B,1319,659,0.05458680818802123,0.030349013657056147,-0.024237794530965084,0.024237794530965084,False
01-ai__Yi-34B,meta-llama__Meta-Llama-3-8B-Instruct,1319,659,-0.18043972706595907,-0.21699544764795145,-0.036555720581992385,0.036555720581992385,False
01-ai__Yi-34B,microsoft__Phi-3-mini-4k-instruct,1319,659,-0.23881728582259287,-0.26403641881638845,-0.02521913299379558,0.02521913299379558,False
01-ai__Yi-34B,mistralai__Mistral-7B-Instruct-v0.1,1319,659,0.3639120545868082,0.49165402124430957,0.12774196665750137,0.12774196665750137,False
01-ai__Yi-34B,mistralai__Mistral-7B-Instruct-v0.2,1319,659,0.10614101592115238,0.09863429438543247,-0.007506721535719907,0.007506721535719907,False
01-ai__Yi-34B,mistralai__Mistral-7B-v0.1,1319,659,0.13570887035633056,0.14871016691957512,0.013001296563244558,0.013001296563244558,False
